Tick,X,Y,LandUse,LandUseIndex,Agent,Competitiveness
2000,1,1,AT3,2,AT3,94.381
2000,1,2,AT3,2,AT3,105.180
2000,1,3,AT3,2,AT3,113.117
2000,1,4,AT3,2,AT3,118.180
2000,1,5,AT3,2,AT3,120.357
2000,1,6,AT3,2,AT3,119.645
2000,1,7,AT3,2,AT3,116.045
2000,1,8,AT3,2,AT3,109.564
2000,1,9,AT3,2,AT3,100.214
2000,1,10,AT3,2,AT3,88.012
2000,2,1,AT3,2,AT3,100.140
2000,2,2,AT3,2,AT3,110.950
2000,2,3,AT3,2,AT3,118.896
2000,2,4,AT3,2,AT3,123.963
2000,2,5,AT3,2,AT3,126.142
2000,2,6,AT3,2,AT3,125.427
2000,2,7,AT3,2,AT3,121.821
2000,2,8,AT3,2,AT3,115.330
2000,2,9,AT3,2,AT3,105.967
2000,2,10,AT3,2,AT3,93.749
2000,3,1,AT3,2,AT3,103.023
2000,3,2,AT3,2,AT3,113.839
2000,3,3,AT3,2,AT3,121.788
2000,3,4,AT3,2,AT3,126.857
2000,3,5,AT3,2,AT3,129.035
2000,3,6,AT3,2,AT3,128.318
2000,3,7,AT3,2,AT3,124.709
2000,3,8,AT3,2,AT3,118.212
2000,3,9,AT3,2,AT3,108.842
2000,3,10,AT3,2,AT3,96.614
2000,4,1,AT3,2,AT3,103.026
2000,4,2,AT3,2,AT3,113.840
2000,4,3,AT3,2,AT3,121.788
2000,4,4,AT3,2,AT3,126.855
2000,4,5,AT3,2,AT3,129.031
2000,4,6,AT3,2,AT3,128.313
2000,4,7,AT3,2,AT3,124.702
2000,4,8,AT3,2,AT3,118.204
2000,4,9,AT3,2,AT3,108.832
2000,4,10,AT3,2,AT3,96.602
2000,5,1,AT3,2,AT3,100.148
2000,5,2,AT3,2,AT3,110.954
2000,5,3,AT3,2,AT3,118.895
2000,5,4,AT3,2,AT3,123.957
2000,5,5,AT3,2,AT3,126.131
2000,5,6,AT3,2,AT3,125.412
2000,5,7,AT3,2,AT3,121.801
2000,5,8,AT3,2,AT3,115.306
2000,5,9,AT3,2,AT3,105.938
2000,5,10,AT3,2,AT3,93.714
2000,6,1,AT3,2,AT3,94.395
2000,6,2,AT3,2,AT3,105.186
2000,6,3,AT3,2,AT3,113.116
2000,6,4,AT3,2,AT3,118.170
2000,6,5,AT3,2,AT3,120.339
2000,6,6,AT3,2,AT3,119.619
2000,6,7,AT3,2,AT3,116.011
2000,6,8,AT3,2,AT3,109.522
2000,6,9,AT3,2,AT3,100.165
2000,6,10,AT3,2,AT3,87.955
2000,7,1,AT3,2,AT3,85.777
