Year,Service1,Service2,Service3
2010,-6.843535142924171,5.667523096943952,-54.860176156467936
2011,-4.081459960778366,0.30394935694775677,-43.6815915405797
2012,-1.8775097203158515,-1.241423058772572,-35.30638350835654
2013,-0.756467888555942,0.5717036672855313,-30.77812101250446
2014,0.31175117973251903,0.2848764373184245,-26.9211187193034
2015,1.3405034646879,0.894325265283109,-24.079513595392363
2016,2.1064908848990727,1.0006572537332286,-21.877533636898853
2017,2.6493190774380944,1.101601865818766,-20.151911083747226
2018,2.9836664911225186,1.032434948479235,-18.794396817571368
2019,3.2679754790288102,0.8586926525975905,-17.721812187753468
2020,3.4668403035066144,0.6389705778129663,-16.886123140431504
2021,3.3463952615060175,0.7895286942086907,-16.22567359753221
2022,3.2189928880017966,0.8125314821742194,-15.662955869426671
2023,3.0694396035369693,0.7767415512776089,-15.195454613686708
2024,2.9200151322874675,0.7272877010349049,-14.835193470025093
2025,2.775204462444735,0.7038650114297528,-14.55795158232111
2026,2.6486156300989436,0.6834266583792228,-14.342611006088292
2027,2.52541062029164,0.6687262533582912,-14.178186048267525
2028,2.4102632943269766,0.6529089703722197,-14.042136837327662
2029,2.3104996698696505,0.6335553239028325,-13.939203232868914
2030,2.2217023400068725,0.6383394762614821,-13.864153925478131
2031,2.19382531205101,0.639399476856586,-13.78753646364511
2032,2.141145233825071,0.6004347284268001,-13.709035357967778
2033,2.0832341262689815,0.5959500318965285,-13.696643215161728
2034,2.0560370549954934,0.674921885782588,-13.582352323514916
2035,1.9067632765246665,0.3859210780036539,-13.731291653061293
2036,2.120348844736504,1.6240007629430404,-13.499111940410533
2037,0.9036991188840705,-4.797370194598633,-13.817772920041149
2038,3.2320426908771274,1.5263515113448498,-12.257305123859117
2039,1.131495012190647,-0.9964912542173873,-20.196114447514155
2040,3.8224108440111912,4.725823390432282,-16.014995548629773
