Name,Number,Code,ISOcode,Annotations
Austria,1,AT,AT,
Belgium,2,BE,BE,
Bulgaria,3,BG,BG,
Cyprus,,CY,GR,
Czech Republic,5,CZ,CZ,
Germany,6,DE,DE,
Denmark,7,DK,DK,
Estonia,8,EE,EE,
Greece,12,EL,GR,includes Cyprus
Spain,9,ES,ES,
Finland,10,FI,FI,
France,11,FR,FR,
Croatia,,HR,HR,not included
Hungary,13,HU,HU,
Ireland,14,IE,IE,
Italy,15,IT,IT,
Lithuania,16,LT,LT,
Luxembourg,17,LU,LU,
Latvia,18,LV,LV,
Malta,19,MT,MT,
Netherlands,20,NL,NL,
Poland,21,PL,PL,
Portugal,22,PT,PT,
Romania,23,RO,RO,
Sweden,24,SE,SE,
Slovenia,25,SI,SI,
Slovakia,26,SK,SK,
United Kingdom,28,UK,GB,
,,,,http://publications.europa.eu/code/pdf/370000en.htm
